product_id,generic_name,brand_name,dosage,form,price_inr,stock,prescription_required,is_active,created_at,description
MED0022,Tramadol,Dr Reddy's,100mg,Syrup,473.64,505,Yes,TRUE,21-11-2024,Tramadol is widely prescribed for controlling pain and fever.
MED0023,Methylprednisolone,Alkem,1g,Injection,432.2,1194,Yes,TRUE,04-04-2024,Methylprednisolone is commonly used in the management of inflammatory and autoimmune disorders.
MED0024,Tacrolimus,Zydus,250mg,Capsule,81.24,694,Yes,TRUE,05-04-2024,Tacrolimus is commonly used in the management of inflammatory and autoimmune disorders.
MED0025,Tramadol,Cipla,250mg,Inhaler,182.72,1095,Yes,TRUE,17-06-2024,Tramadol is effective in preventing complications related to pain and fever.
MED0026,Methylprednisolone,Alkem,5ml,Inhaler,379.86,1014,Yes,TRUE,24-01-2024,Methylprednisolone supports long‑term treatment of inflammatory and autoimmune disorders.
MED0027,Ciprofloxacin,Sun Pharma,5ml,Cream,445.06,236,Yes,FALSE,14-12-2024,Ciprofloxacin is indicated for patients suffering from bacterial infections.
MED0028,Clarithromycin,Glenmark,200mg,Syrup,436.16,916,Yes,TRUE,10-10-2024,Clarithromycin supports long‑term treatment of bacterial infections.
MED0029,Salbutamol,Dr Reddy's,250mg,Inhaler,320.34,306,Yes,FALSE,25-10-2024,Salbutamol plays an important role in treating asthma and allergic airway conditions.
MED0030,Azithromycin,Zydus,650mg,Syrup,511.77,574,Yes,FALSE,07-01-2024,Azithromycin supports long‑term treatment of bacterial infections.
MED0031,Budesonide,Mankind,50mg,Cream,303.61,812,Yes,FALSE,08-11-2024,Budesonide helps in reducing symptoms associated with asthma and allergic airway conditions.
MED0032,Methotrexate,Dr Reddy's,500mg,Cream,8315.05,898,Yes,TRUE,11-09-2024,Methotrexate is widely prescribed for controlling certain cancers and immune-related conditions.
MED0033,Ondansetron,Torrent,10ml,Tablet,448.11,350,Yes,TRUE,09-01-2024,Ondansetron is administered in moderate to severe cases of acid reflux and gastric disorders.
MED0034,Glimepiride,Torrent,1g,Injection,279.71,709,Yes,FALSE,21-01-2024,Glimepiride works by targeting the underlying cause of type 2 diabetes and blood glucose control.
MED0035,Cyclophosphamide,Torrent,200mg,Tablet,4849.44,11,Yes,TRUE,26-02-2024,Cyclophosphamide is part of standard therapy for certain cancers and immune-related conditions.
MED0036,Fentanyl,Sun Pharma,50mg,Syrup,2369.3,1163,Yes,TRUE,16-07-2024,Fentanyl is part of standard therapy for pain and fever.
MED0037,Omeprazole,Sun Pharma,250mg,Capsule,176.74,983,Yes,FALSE,27-03-2024,Omeprazole is commonly used in the management of acid reflux and gastric disorders.
MED0038,Salbutamol,Mankind,5ml,Syrup,276.55,854,Yes,TRUE,17-10-2024,Salbutamol is administered in moderate to severe cases of asthma and allergic airway conditions.
MED0039,Telmisartan,Zydus,1g,Syrup,301.23,323,Yes,FALSE,23-12-2024,Telmisartan is effective in preventing complications related to high blood pressure.
MED0040,Ibuprofen,Glenmark,500mg,Injection,110.6,910,No,TRUE,13-11-2024,Ibuprofen is effective in preventing complications related to pain and fever.
MED0041,Rabeprazole,Lupin,5ml,Capsule,453.53,936,Yes,TRUE,03-07-2024,Rabeprazole is commonly used in the management of acid reflux and gastric disorders.
MED0042,Salbutamol,Alkem,500mg,Syrup,595.96,388,Yes,FALSE,12-12-2024,Salbutamol is commonly used in the management of asthma and allergic airway conditions.
MED0043,Alprazolam,Torrent,5ml,Syrup,532.88,558,Yes,TRUE,19-07-2024,"Alprazolam plays an important role in treating anxiety, depression, and mood disorders."
MED0044,Cyclosporine,Sun Pharma,250mg,Cream,81.92,1188,Yes,FALSE,05-11-2024,Cyclosporine supports long‑term treatment of inflammatory and autoimmune disorders.
MED0045,Telmisartan,Alkem,1g,Injection,73.52,364,Yes,TRUE,17-12-2024,Telmisartan is widely prescribed for controlling high blood pressure.
MED0046,Morphine,Sun Pharma,500mg,Syrup,1219.06,984,Yes,TRUE,31-01-2024,Morphine works by targeting the underlying cause of pain and fever.
MED0047,Telmisartan,Cipla,10ml,Injection,176.01,639,Yes,FALSE,03-03-2024,Telmisartan is part of standard therapy for high blood pressure.
MED0048,Warfarin,Dr Reddy's,650mg,Cream,299.32,991,Yes,FALSE,02-10-2024,Warfarin plays an important role in treating cholesterol management and heart disease.
MED0049,Clindamycin,Sun Pharma,500mg,Tablet,287.76,945,Yes,TRUE,13-01-2024,Clindamycin supports long‑term treatment of bacterial infections.
MED0050,Clopidogrel,Lupin,500mg,Inhaler,42.49,901,Yes,TRUE,20-10-2024,Clopidogrel works by targeting the underlying cause of cholesterol management and heart disease.
MED0051,Paracetamol,Torrent,250mg,Syrup,453.2,772,No,TRUE,12-09-2024,Paracetamol is administered in moderate to severe cases of pain and fever.
MED0052,Warfarin,Alkem,1g,Cream,58.67,254,Yes,FALSE,28-06-2024,Warfarin helps in reducing symptoms associated with cholesterol management and heart disease.
MED0053,Levofloxacin,Glenmark,100mg,Inhaler,571.3,282,Yes,TRUE,20-11-2024,Levofloxacin is commonly used in the management of bacterial infections.
MED0054,Morphine,Sun Pharma,200mg,Capsule,3673.18,576,Yes,TRUE,07-10-2024,Morphine is commonly used in the management of pain and fever.
MED0055,Fentanyl,Glenmark,200mg,Capsule,4586.2,83,Yes,TRUE,25-01-2024,Fentanyl plays an important role in treating pain and fever.
MED0056,Fluoxetine,Alkem,50mg,Capsule,299.54,327,Yes,FALSE,21-06-2024,"Fluoxetine is effective in preventing complications related to anxiety, depression, and mood disorders."
MED0057,Tacrolimus,Dr Reddy's,200mg,Tablet,358.48,311,Yes,FALSE,19-11-2024,Tacrolimus plays an important role in treating inflammatory and autoimmune disorders.
MED0058,Clarithromycin,Cipla,1g,Injection,355.75,144,Yes,FALSE,04-09-2024,Clarithromycin works by targeting the underlying cause of bacterial infections.
MED0059,Fentanyl,Cipla,100mg,Capsule,1225.68,740,Yes,TRUE,07-05-2024,Fentanyl is commonly used in the management of pain and fever.
MED0060,Salbutamol,Zydus,10ml,Tablet,491.72,745,Yes,FALSE,01-05-2024,Salbutamol is indicated for patients suffering from asthma and allergic airway conditions.
MED0061,Prednisolone,Abbott India,250mg,Injection,298.27,689,Yes,FALSE,24-12-2024,Prednisolone supports long‑term treatment of inflammatory and autoimmune disorders.
MED0062,Salbutamol,Cipla,200mg,Capsule,496.4,515,Yes,TRUE,14-09-2024,Salbutamol is administered in moderate to severe cases of asthma and allergic airway conditions.
MED0063,Rabeprazole,Cipla,650mg,Cream,227.29,351,Yes,FALSE,30-01-2024,Rabeprazole plays an important role in treating acid reflux and gastric disorders.
MED0064,Insulin Glargine,Abbott India,5ml,Cream,89.22,109,Yes,FALSE,10-07-2024,Insulin Glargine is effective in preventing complications related to type 2 diabetes and blood glucose control.
MED0065,Dexamethasone,Glenmark,50mg,Tablet,112.53,626,Yes,FALSE,30-07-2024,Dexamethasone is indicated for patients suffering from inflammatory and autoimmune disorders.
MED0066,Cyclophosphamide,Glenmark,100mg,Cream,3842.5,1061,Yes,TRUE,22-01-2024,Cyclophosphamide is widely prescribed for controlling certain cancers and immune-related conditions.
MED0067,Metformin,Abbott India,50mg,Injection,187.96,905,Yes,TRUE,27-08-2024,Metformin works by targeting the underlying cause of type 2 diabetes and blood glucose control.
MED0068,Methotrexate,Dr Reddy's,200mg,Inhaler,5138.89,211,Yes,FALSE,12-10-2024,Methotrexate is commonly used in the management of certain cancers and immune-related conditions.
MED0069,Paracetamol,Sun Pharma,10ml,Tablet,32.65,837,No,TRUE,22-12-2024,Paracetamol is commonly used in the management of pain and fever.
MED0070,Clopidogrel,Lupin,650mg,Inhaler,173.54,1005,Yes,FALSE,08-10-2024,Clopidogrel plays an important role in treating cholesterol management and heart disease.
MED0071,Atorvastatin,Cipla,500mg,Syrup,521,605,Yes,TRUE,20-01-2024,Atorvastatin is commonly used in the management of cholesterol management and heart disease.
MED0072,Insulin Glargine,Mankind,1g,Inhaler,270.34,799,Yes,TRUE,14-01-2024,Insulin Glargine works by targeting the underlying cause of type 2 diabetes and blood glucose control.
MED0073,Risperidone,Lupin,500mg,Inhaler,178.34,828,Yes,TRUE,10-02-2024,"Risperidone is indicated for patients suffering from anxiety, depression, and mood disorders."
MED0074,Paracetamol,Dr Reddy's,500mg,Inhaler,303.62,1120,No,FALSE,30-06-2024,Paracetamol supports long‑term treatment of pain and fever.
MED0075,Glimepiride,Alkem,250mg,Syrup,468.25,1030,Yes,TRUE,31-01-2024,Glimepiride is widely prescribed for controlling type 2 diabetes and blood glucose control.
MED0076,Insulin Glargine,Sun Pharma,100mg,Inhaler,321.68,1189,Yes,FALSE,16-12-2024,Insulin Glargine is administered in moderate to severe cases of type 2 diabetes and blood glucose control.
MED0077,Paracetamol,Cipla,10ml,Cream,561.02,1120,No,FALSE,11-02-2024,Paracetamol is effective in preventing complications related to pain and fever.
MED0078,Omeprazole,Mankind,100mg,Injection,540.76,220,Yes,FALSE,04-05-2024,Omeprazole works by targeting the underlying cause of acid reflux and gastric disorders.
MED0079,Domperidone,Alkem,100mg,Cream,53.85,757,Yes,FALSE,07-01-2024,Domperidone works by targeting the underlying cause of acid reflux and gastric disorders.
MED0080,Alprazolam,Mankind,500mg,Syrup,457.72,583,Yes,FALSE,18-01-2024,"Alprazolam works by targeting the underlying cause of anxiety, depression, and mood disorders."
MED0081,Morphine,Mankind,650mg,Tablet,2327.29,400,Yes,TRUE,29-09-2024,Morphine works by targeting the underlying cause of pain and fever.
MED0082,Cyclophosphamide,Glenmark,5ml,Inhaler,5569.37,992,Yes,TRUE,02-01-2024,Cyclophosphamide is part of standard therapy for certain cancers and immune-related conditions.
MED0083,Ceftriaxone,Sun Pharma,200mg,Capsule,384.48,36,Yes,FALSE,29-05-2024,Ceftriaxone is indicated for patients suffering from bacterial infections.
MED0084,Hydrochlorothiazide,Dr Reddy's,5ml,Inhaler,542.7,546,Yes,TRUE,05-04-2024,Hydrochlorothiazide works by targeting the underlying cause of high blood pressure.
MED0085,Atorvastatin,Glenmark,650mg,Cream,170.37,603,Yes,TRUE,19-04-2024,Atorvastatin is indicated for patients suffering from cholesterol management and heart disease.
MED0086,Diazepam,Alkem,200mg,Inhaler,516.49,769,Yes,FALSE,15-10-2024,"Diazepam helps in reducing symptoms associated with anxiety, depression, and mood disorders."
MED0087,Montelukast,Dr Reddy's,50mg,Syrup,297.53,292,Yes,FALSE,12-01-2024,Montelukast is widely prescribed for controlling asthma and allergic airway conditions.
MED0088,Tramadol,Lupin,650mg,Syrup,493.16,605,Yes,TRUE,28-04-2024,Tramadol is effective in preventing complications related to pain and fever.
MED0089,Cyclophosphamide,Dr Reddy's,650mg,Syrup,4704.43,248,Yes,FALSE,04-02-2024,Cyclophosphamide plays an important role in treating certain cancers and immune-related conditions.
MED0090,Methotrexate,Lupin,10ml,Tablet,6658.49,503,Yes,FALSE,06-01-2024,Methotrexate works by targeting the underlying cause of certain cancers and immune-related conditions.
MED0091,Methotrexate,Cipla,250mg,Cream,8084.9,1189,Yes,TRUE,03-09-2024,Methotrexate is administered in moderate to severe cases of certain cancers and immune-related conditions.
MED0092,Fluoxetine,Zydus,100mg,Inhaler,291,177,Yes,TRUE,07-01-2024,"Fluoxetine supports long‑term treatment of anxiety, depression, and mood disorders."
MED0093,Cyclosporine,Zydus,5ml,Cream,82.72,615,Yes,FALSE,24-07-2024,Cyclosporine plays an important role in treating inflammatory and autoimmune disorders.
MED0094,Losartan,Dr Reddy's,5ml,Inhaler,132.57,17,Yes,TRUE,07-08-2024,Losartan is part of standard therapy for high blood pressure.
MED0095,Hydrochlorothiazide,Torrent,650mg,Syrup,112.25,135,Yes,FALSE,22-05-2024,Hydrochlorothiazide supports long‑term treatment of high blood pressure.
MED0096,Rabeprazole,Mankind,50mg,Inhaler,439.46,855,Yes,TRUE,10-09-2024,Rabeprazole is effective in preventing complications related to acid reflux and gastric disorders.
MED0097,Aspirin,Zydus,5ml,Inhaler,92.73,277,No,FALSE,08-07-2024,Aspirin supports long‑term treatment of pain and fever.
MED0098,Fentanyl,Torrent,250mg,Tablet,2482.93,427,Yes,FALSE,24-07-2024,Fentanyl is administered in moderate to severe cases of pain and fever.
MED0099,Cyclophosphamide,Mankind,10ml,Inhaler,5495.52,240,Yes,TRUE,13-01-2024,Cyclophosphamide is effective in preventing complications related to certain cancers and immune-related conditions.
MED0100,Cyclophosphamide,Zydus,5ml,Cream,4121.32,49,Yes,TRUE,03-11-2024,Cyclophosphamide is effective in preventing complications related to certain cancers and immune-related conditions.
MED0101,Budesonide,Mankind,50mg,Injection,218.66,562,Yes,FALSE,18-02-2024,Budesonide works by targeting the underlying cause of asthma and allergic airway conditions.
MED0102,Olanzapine,Dr Reddy's,650mg,Injection,354.84,882,Yes,TRUE,11-01-2024,"Olanzapine supports long‑term treatment of anxiety, depression, and mood disorders."
MED0103,Azithromycin,Zydus,1g,Capsule,59.6,983,Yes,FALSE,12-04-2024,Azithromycin is effective in preventing complications related to bacterial infections.
MED0104,Paracetamol,Dr Reddy's,200mg,Capsule,288.53,213,No,TRUE,31-03-2024,Paracetamol is indicated for patients suffering from pain and fever.
MED0105,Glimepiride,Abbott India,1g,Cream,384.13,392,Yes,TRUE,06-02-2024,Glimepiride plays an important role in treating type 2 diabetes and blood glucose control.
MED0106,Cyclophosphamide,Mankind,500mg,Syrup,2855.65,661,Yes,FALSE,02-03-2024,Cyclophosphamide is administered in moderate to severe cases of certain cancers and immune-related conditions.
MED0107,Prednisolone,Mankind,1g,Syrup,403.75,343,Yes,TRUE,06-11-2024,Prednisolone supports long‑term treatment of inflammatory and autoimmune disorders.
MED0108,Vancomycin,Mankind,200mg,Capsule,3378.52,448,Yes,FALSE,13-02-2024,Vancomycin is administered in moderate to severe cases of bacterial infections.
MED0109,Budesonide,Mankind,100mg,Cream,406.37,831,Yes,TRUE,22-05-2024,Budesonide helps in reducing symptoms associated with asthma and allergic airway conditions.
MED0110,Rabeprazole,Mankind,250mg,Capsule,405.9,569,Yes,FALSE,22-05-2024,Rabeprazole is effective in preventing complications related to acid reflux and gastric disorders.
MED0111,Warfarin,Cipla,100mg,Tablet,433.35,968,Yes,TRUE,07-09-2024,Warfarin works by targeting the underlying cause of cholesterol management and heart disease.
MED0112,Lithium Carbonate,Sun Pharma,200mg,Cream,415.27,258,Yes,TRUE,09-10-2024,"Lithium Carbonate is commonly used in the management of anxiety, depression, and mood disorders."
MED0113,Pantoprazole,Cipla,5ml,Inhaler,40.8,823,Yes,FALSE,24-06-2024,Pantoprazole is indicated for patients suffering from acid reflux and gastric disorders.
MED0114,Metformin,Lupin,650mg,Inhaler,354.07,649,Yes,TRUE,06-05-2024,Metformin is commonly used in the management of type 2 diabetes and blood glucose control.
MED0115,Dexamethasone,Alkem,100mg,Capsule,286.24,873,Yes,TRUE,09-10-2024,Dexamethasone is administered in moderate to severe cases of inflammatory and autoimmune disorders.
MED0116,Diazepam,Sun Pharma,200mg,Inhaler,355.58,801,Yes,TRUE,26-02-2024,"Diazepam is indicated for patients suffering from anxiety, depression, and mood disorders."
MED0117,Ondansetron,Glenmark,200mg,Cream,497.74,1181,Yes,FALSE,14-05-2024,Ondansetron is commonly used in the management of acid reflux and gastric disorders.
MED0118,Cyclosporine,Zydus,200mg,Tablet,344.98,876,Yes,FALSE,13-12-2024,Cyclosporine works by targeting the underlying cause of inflammatory and autoimmune disorders.
MED0119,Insulin Glargine,Glenmark,650mg,Capsule,506.61,181,Yes,FALSE,05-02-2024,Insulin Glargine is effective in preventing complications related to type 2 diabetes and blood glucose control.
MED0120,Aspirin,Cipla,100mg,Injection,463.44,516,No,FALSE,24-04-2024,Aspirin is commonly used in the management of pain and fever.
MED0121,Budesonide,Alkem,250mg,Injection,482.27,736,Yes,FALSE,10-12-2024,Budesonide supports long‑term treatment of asthma and allergic airway conditions.
MED0122,Glimepiride,Glenmark,50mg,Inhaler,185.56,519,Yes,FALSE,29-05-2024,Glimepiride is widely prescribed for controlling type 2 diabetes and blood glucose control.
MED0123,Clopidogrel,Glenmark,1g,Tablet,209.18,583,Yes,TRUE,16-08-2024,Clopidogrel supports long‑term treatment of cholesterol management and heart disease.
MED0124,Fluoxetine,Alkem,5ml,Injection,114.74,336,Yes,TRUE,17-07-2024,"Fluoxetine plays an important role in treating anxiety, depression, and mood disorders."
MED0125,Ondansetron,Zydus,250mg,Injection,468.13,598,Yes,FALSE,03-03-2024,Ondansetron helps in reducing symptoms associated with acid reflux and gastric disorders.
MED0126,Azithromycin,Sun Pharma,1g,Cream,540.63,322,Yes,FALSE,16-08-2024,Azithromycin helps in reducing symptoms associated with bacterial infections.
MED0127,Metformin,Torrent,1g,Capsule,137.7,240,Yes,FALSE,09-05-2024,Metformin is part of standard therapy for type 2 diabetes and blood glucose control.
MED0128,Methotrexate,Torrent,100mg,Cream,6448.65,241,Yes,TRUE,09-09-2024,Methotrexate is commonly used in the management of certain cancers and immune-related conditions.
MED0129,Amoxicillin,Zydus,1g,Tablet,212.17,592,Yes,TRUE,10-07-2024,Amoxicillin supports long‑term treatment of bacterial infections.
MED0130,Rosuvastatin,Cipla,10ml,Injection,422.01,184,Yes,TRUE,21-11-2024,Rosuvastatin is part of standard therapy for cholesterol management and heart disease.
MED0131,Domperidone,Zydus,100mg,Tablet,165.71,1181,Yes,TRUE,15-12-2024,Domperidone is part of standard therapy for acid reflux and gastric disorders.
MED0132,Tramadol,Lupin,650mg,Inhaler,495.83,824,Yes,FALSE,10-12-2024,Tramadol plays an important role in treating pain and fever.
MED0133,Budesonide,Dr Reddy's,1g,Inhaler,73.16,1138,Yes,FALSE,25-11-2024,Budesonide supports long‑term treatment of asthma and allergic airway conditions.
MED0134,Linezolid,Torrent,5ml,Cream,2018.62,1174,Yes,FALSE,19-06-2024,Linezolid is administered in moderate to severe cases of bacterial infections.
MED0135,Fluoxetine,Abbott India,5ml,Tablet,279.45,341,Yes,FALSE,21-10-2024,"Fluoxetine is administered in moderate to severe cases of anxiety, depression, and mood disorders."
MED0136,Dexamethasone,Alkem,200mg,Inhaler,533.33,429,Yes,FALSE,23-07-2024,Dexamethasone supports long‑term treatment of inflammatory and autoimmune disorders.
MED0137,Losartan,Lupin,5ml,Syrup,158.17,710,Yes,TRUE,20-04-2024,Losartan is commonly used in the management of high blood pressure.
MED0138,Linezolid,Lupin,50mg,Inhaler,2127.11,991,Yes,TRUE,16-11-2024,Linezolid is indicated for patients suffering from bacterial infections.
MED0139,Methylprednisolone,Torrent,650mg,Injection,413.68,1078,Yes,FALSE,30-11-2024,Methylprednisolone helps in reducing symptoms associated with inflammatory and autoimmune disorders.
MED0140,Metformin,Glenmark,250mg,Syrup,568.36,214,Yes,TRUE,25-05-2024,Metformin helps in reducing symptoms associated with type 2 diabetes and blood glucose control.
MED0141,Montelukast,Torrent,200mg,Syrup,218.68,104,Yes,TRUE,24-06-2024,Montelukast is administered in moderate to severe cases of asthma and allergic airway conditions.
MED0142,Enoxaparin,Glenmark,200mg,Syrup,305.74,197,Yes,TRUE,22-03-2024,Enoxaparin supports long‑term treatment of cholesterol management and heart disease.
MED0143,Omeprazole,Glenmark,10ml,Injection,550.97,248,Yes,FALSE,11-03-2024,Omeprazole is commonly used in the management of acid reflux and gastric disorders.
MED0144,Methotrexate,Dr Reddy's,10ml,Inhaler,4956.98,317,Yes,TRUE,08-07-2024,Methotrexate is indicated for patients suffering from certain cancers and immune-related conditions.
MED0145,Amlodipine,Zydus,200mg,Inhaler,215,578,Yes,FALSE,07-09-2024,Amlodipine is indicated for patients suffering from high blood pressure.
MED0146,Morphine,Abbott India,10ml,Inhaler,3187.31,582,Yes,TRUE,29-02-2024,Morphine plays an important role in treating pain and fever.
MED0147,Insulin Glargine,Mankind,200mg,Injection,389.73,1026,Yes,TRUE,01-05-2024,Insulin Glargine is effective in preventing complications related to type 2 diabetes and blood glucose control.
MED0148,Amlodipine,Glenmark,5ml,Cream,367.57,153,Yes,FALSE,18-06-2024,Amlodipine is effective in preventing complications related to high blood pressure.
MED0149,Salbutamol,Cipla,100mg,Cream,381.06,9,Yes,TRUE,29-09-2024,Salbutamol is commonly used in the management of asthma and allergic airway conditions.
MED0150,Hydrochlorothiazide,Lupin,10ml,Inhaler,485.91,1007,Yes,TRUE,23-12-2024,Hydrochlorothiazide is commonly used in the management of high blood pressure.
MED0151,Ondansetron,Lupin,1g,Inhaler,21.16,1139,Yes,FALSE,28-05-2024,Ondansetron helps in reducing symptoms associated with acid reflux and gastric disorders.
MED0152,Domperidone,Mankind,50mg,Injection,161.46,988,Yes,FALSE,19-05-2024,Domperidone is indicated for patients suffering from acid reflux and gastric disorders.
MED0153,Enoxaparin,Mankind,100mg,Injection,599.57,622,Yes,TRUE,20-09-2024,Enoxaparin is indicated for patients suffering from cholesterol management and heart disease.
MED0154,Omeprazole,Cipla,500mg,Cream,549.22,1075,Yes,FALSE,26-11-2024,Omeprazole is widely prescribed for controlling acid reflux and gastric disorders.
MED0155,Clarithromycin,Cipla,500mg,Capsule,427.49,533,Yes,FALSE,02-12-2024,Clarithromycin is administered in moderate to severe cases of bacterial infections.
MED0156,Insulin Glargine,Abbott India,100mg,Inhaler,443.3,760,Yes,TRUE,25-11-2024,Insulin Glargine is indicated for patients suffering from type 2 diabetes and blood glucose control.
MED0157,Telmisartan,Abbott India,250mg,Injection,353.9,782,Yes,TRUE,31-03-2024,Telmisartan helps in reducing symptoms associated with high blood pressure.
MED0158,Montelukast,Zydus,10ml,Capsule,430.39,1080,Yes,FALSE,18-08-2024,Montelukast is commonly used in the management of asthma and allergic airway conditions.
MED0159,Glimepiride,Cipla,10ml,Inhaler,275.19,321,Yes,TRUE,17-12-2024,Glimepiride works by targeting the underlying cause of type 2 diabetes and blood glucose control.
MED0160,Methotrexate,Alkem,50mg,Syrup,6832.1,952,Yes,TRUE,05-07-2024,Methotrexate is part of standard therapy for certain cancers and immune-related conditions.
MED0161,Cyclophosphamide,Lupin,650mg,Cream,2437.94,47,Yes,FALSE,04-06-2024,Cyclophosphamide helps in reducing symptoms associated with certain cancers and immune-related conditions.
MED0162,Olanzapine,Cipla,650mg,Capsule,568.3,134,Yes,TRUE,29-07-2024,"Olanzapine is administered in moderate to severe cases of anxiety, depression, and mood disorders."
MED0163,Methotrexate,Abbott India,5ml,Tablet,2778.5,1078,Yes,FALSE,05-09-2024,Methotrexate supports long‑term treatment of certain cancers and immune-related conditions.
MED0164,Omeprazole,Alkem,100mg,Capsule,402.56,395,Yes,FALSE,21-03-2024,Omeprazole is widely prescribed for controlling acid reflux and gastric disorders.
MED0165,Dexamethasone,Dr Reddy's,50mg,Inhaler,331.88,252,Yes,TRUE,15-09-2024,Dexamethasone plays an important role in treating inflammatory and autoimmune disorders.
MED0166,Salbutamol,Torrent,250mg,Injection,473.2,1049,Yes,FALSE,30-11-2024,Salbutamol is indicated for patients suffering from asthma and allergic airway conditions.
MED0167,Lithium Carbonate,Lupin,50mg,Cream,138.28,458,Yes,TRUE,16-05-2024,"Lithium Carbonate supports long‑term treatment of anxiety, depression, and mood disorders."
MED0168,Dexamethasone,Cipla,10ml,Syrup,583.86,986,Yes,TRUE,12-05-2024,Dexamethasone is widely prescribed for controlling inflammatory and autoimmune disorders.
MED0169,Enoxaparin,Lupin,10ml,Cream,158.18,1031,Yes,FALSE,21-02-2024,Enoxaparin is effective in preventing complications related to cholesterol management and heart disease.
MED0170,Amlodipine,Alkem,50mg,Cream,485.66,683,Yes,FALSE,14-08-2024,Amlodipine is administered in moderate to severe cases of high blood pressure.
MED0171,Amlodipine,Cipla,1g,Cream,369.97,992,Yes,TRUE,26-11-2024,Amlodipine supports long‑term treatment of high blood pressure.
MED0172,Azithromycin,Cipla,100mg,Capsule,31.79,770,Yes,TRUE,21-02-2024,Azithromycin is indicated for patients suffering from bacterial infections.
MED0173,Cyclophosphamide,Torrent,5ml,Capsule,6355.17,163,Yes,FALSE,02-08-2024,Cyclophosphamide is effective in preventing complications related to certain cancers and immune-related conditions.
MED0174,Budesonide,Zydus,50mg,Cream,189.26,170,Yes,FALSE,03-10-2024,Budesonide is widely prescribed for controlling asthma and allergic airway conditions.
MED0175,Olanzapine,Cipla,100mg,Inhaler,249.67,892,Yes,FALSE,29-07-2024,"Olanzapine is effective in preventing complications related to anxiety, depression, and mood disorders."
MED0176,Budesonide,Torrent,1g,Syrup,139.73,640,Yes,TRUE,10-02-2024,Budesonide is indicated for patients suffering from asthma and allergic airway conditions.
